year,tw_post_count,tw_repo_count,tw_author_count,tw_post_gini_one_year,tw_exclude_rt_post_gini_one_year,hn_post_count,hn_repo_count,hn_author_count,hn_post_gini_one_year,rd_post_count,rd_repo_count,rd_author_count,rd_post_gini_one_year
2010,473,167,382,0.6851553772417687,0.6779382337713222,37,32,32,-1.0,4,3,3,-1.0
2011,5368,592,1634,0.81740531080359,0.828310174418167,131,100,106,0.31762991743564833,193,128,138,0.412719298245614
2012,20319,1575,5643,0.738388734012452,0.7060681474900584,362,240,281,0.33287010777084514,633,287,439,0.48024751003419064
2013,27932,3039,11790,0.7927308185529258,0.7751039335701188,847,531,611,0.32133437138745374,1623,685,995,0.5472085554469515
2014,56419,5184,18179,0.7596327492604403,0.6903872621238721,1232,785,913,0.30842046293436093,3090,1285,1806,0.5086411798396334
2015,95926,7937,31706,0.8175777811191205,0.7557165804474014,1707,1086,1214,0.32199340084196154,8586,2951,4512,0.619250937524086
2016,102578,8241,32657,0.8086958176753046,0.6988305862299302,1925,1150,1327,0.3800100880766694,8394,2753,4896,0.6140135561418357
2017,115616,7468,39175,0.8464189616463472,0.7038711093291448,2018,1162,1327,0.3722111177137918,12844,3482,6787,0.6589388370558854
2018,126743,7124,46125,0.8171672306437577,0.6541717226712161,1962,1102,1364,0.33094085091663783,12972,3757,7215,0.633433621329813
